"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","222779","7194"
"Any Chronic Condition","Male","165630","8342"
"Any Chronic Condition","Total","388738","15538"
"Any Chronic Condition","Unknown","329","2"
"Any Disability","Female","16337","1796"
"Any Disability","Male","13625","1706"
"Any Disability","Total","29990","3502"
"Any Disability","Unknown","28","0"
"Cardiovascular Disease","Female","36980","3514"
"Cardiovascular Disease","Male","34089","4320"
"Cardiovascular Disease","Total","71110","7834"
"Cardiovascular Disease","Unknown","41","0"
"Chronic Liver Disease","Female","2554","218"
"Chronic Liver Disease","Male","2142","325"
"Chronic Liver Disease","Total","4698","544"
"Chronic Liver Disease","Unknown","2","1"
"Chronic Lung Disease","Female","60033","2074"
"Chronic Lung Disease","Male","37448","2105"
"Chronic Lung Disease","Total","97565","4180"
"Chronic Lung Disease","Unknown","84","1"
"Chronic Renal Disease","Female","8901","1568"
"Chronic Renal Disease","Male","8567","1989"
"Chronic Renal Disease","Total","17475","3558"
"Chronic Renal Disease","Unknown","7","1"
"Currently Pregnant","Female","17519","29"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","17529","29"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","48005","2916"
"Diabetes Mellitus","Male","39824","3552"
"Diabetes Mellitus","Total","87901","6470"
"Diabetes Mellitus","Unknown","72","2"
"Hypertension/High blood pressure","Female","55589","2347"
"Hypertension/High blood pressure","Male","41940","2609"
"Hypertension/High blood pressure","Total","97616","4956"
"Hypertension/High blood pressure","Unknown","87","0"
"ICU","Female","7738","3166"
"ICU","Male","9758","4241"
"ICU","Total","17525","7408"
"ICU","Unknown","29","1"
"Immunocompromised Condition","Female","8274","501"
"Immunocompromised Condition","Male","4835","564"
"Immunocompromised Condition","Total","13111","1065"
"Immunocompromised Condition","Unknown","2","0"
"Missing/Unknown status on all conditions","Female","672675","1412"
"Missing/Unknown status on all conditions","Male","593769","1629"
"Missing/Unknown status on all conditions","Total","1278110","3043"
"Missing/Unknown status on all conditions","Unknown","11666","2"
"None of the above conditions","Female","579617","13889"
"None of the above conditions","Male","438137","16133"
"None of the above conditions","Total","1019397","30023"
"None of the above conditions","Unknown","1643","1"
"Obesity (BMI>40)","Female","19259","546"
"Obesity (BMI>40)","Male","9856","505"
"Obesity (BMI>40)","Total","29146","1051"
"Obesity (BMI>40)","Unknown","31","0"
"Other Chronic Diseases","Female","44535","2866"
"Other Chronic Diseases","Male","28738","2981"
"Other Chronic Diseases","Total","73326","5847"
"Other Chronic Diseases","Unknown","53","0"
"Smoker","Female","51308","1207"
"Smoker","Male","58084","2222"
"Smoker","Total","109467","3430"
"Smoker","Unknown","75","1"
"Total with completed information","Female","600944","14731"
"Total with completed information","Male","450959","17034"
"Total with completed information","Total","1053580","31767"
"Total with completed information","Unknown","1677","2"
