"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3836","US-13001","13","1","18561","321","116","20666.99","624.97","59.26","11","1424","19","26"
"Atkinson","1694","US-13003","13","3","8330","264","46","20336.13","552.22","132.05","11","754","11","26"
"Bacon","2847","US-13005","13","5","11404","260","69","24964.92","605.05","105.23","12","1235","12","20"
"Baker","340","US-13007","13","7","3116","54","14","10911.42","449.29","0","0","302","1","5"
"Baldwin","8431","US-13009","13","9","44428","500","213","18976.77","479.43","76.53","34","2691","48","28"
"Banks","3975","US-13011","13","11","19982","396","92","19892.9","460.41","50.05","10","569","9","8"
"Barrow","23115","US-13013","13","13","86383","1185","273","26758.74","316.03","122.71","106","2721","17","8"
"Bartow","26028","US-13015","13","15","110771","1531","417","23497.12","376.45","105.62","117","8992","64","113"
"Ben Hill","2350","US-13017","13","17","16645","218","75","14118.35","450.59","42.05","7","2598","48","88"
"Berrien","2308","US-13019","13","19","19276","156","65","11973.44","337.21","41.5","8","3524","31","52"
"Bibb","33622","US-13021","13","21","152150","3087","725","22097.93","476.5","114.36","174","11214","103","107"
"Bleckley","1614","US-13023","13","23","12838","89","48","12572.05","373.89","101.26","13","2288","61","85"
"Brantley","2742","US-13025","13","25","19202","211","93","14279.76","484.32","67.7","13","1937","22","42"
"Brooks","2177","US-13027","13","27","15727","184","76","13842.44","483.25","101.74","16","1855","20","29"
"Bryan","7989","US-13029","13","29","39137","478","90","20412.91","229.96","145.64","57","3069","19","28"
"Bulloch","11444","US-13031","13","31","79467","440","119","14400.95","149.75","25.17","20","6352","164","293"
"Burke","3241","US-13033","13","33","22342","292","73","14506.31","326.74","31.33","7","3009","51","44"
"Butts","5572","US-13035","13","35","25174","353","159","22133.95","631.6","79.45","20","2052","20","19"
"Calhoun","1081","US-13037","13","37","6317","119","24","17112.55","379.93","15.83","1","469","1","4"
"Camden","10485","US-13039","13","39","53924","286","116","19444.03","215.12","77.89","42","3048","21","35"
"Candler","1489","US-13043","13","43","10837","124","59","13739.96","544.43","27.68","3","1084","50","55"
"Carroll","16724","US-13045","13","45","120119","510","195","13922.86","162.34","64.1","77","11322","303","410"
"Catoosa","14185","US-13047","13","47","68771","448","155","20626.43","225.39","45.08","31","2663","47","47"
"Charlton","2563","US-13049","13","49","13251","131","48","19341.94","362.24","203.76","27","910","17","24"
"Chatham","64163","US-13051","13","51","292176","4096","919","21960.39","314.54","127.66","373","14424","104","108"
"Chattahoochee","6894","US-13053","13","53","10749","66","19","64136.2","176.76","223.28","24","961","5","3"
"Chattooga","5935","US-13055","13","55","24766","380","130","23964.31","524.91","72.68","18","1614","19","26"
"Cherokee","54068","US-13057","13","57","266617","2811","650","20279.28","243.8","95.64","255","20940","55","72"
