"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","56263","7","996"
"05-09 years","Georgia","88040","5","667"
"10-17 years","Georgia","208113","22","2086"
"18-29 years","Georgia","480688","298","10240"
"30-39 years","Georgia","385728","742","12113"
"40-49 years","Georgia","348431","1636","15481"
"50-59 years","Georgia","319478","3982","22610"
"60-69 years","Georgia","221202","7268","26383"
"70-79 years","Georgia","129443","9530","25064"
"80 & Older years","Georgia","68629","11311","19408"
"<1 years","Georgia","22572","9","1102"
"Unknown years","Georgia","3103","0","423"
"01-04 years","Appling","84","0","0"
"05-09 years","Appling","134","0","0"
"10-17 years","Appling","436","1","3"
"18-29 years","Appling","677","1","9"
"30-39 years","Appling","526","4","13"
"40-49 years","Appling","515","10","32"
"50-59 years","Appling","520","12","54"
"60-69 years","Appling","439","25","80"
"70-79 years","Appling","314","27","74"
"80 & Older years","Appling","162","36","56"
"<1 years","Appling","29","0","0"
"01-04 years","Atkinson","47","1","3"
"05-09 years","Atkinson","77","0","1"
"10-17 years","Atkinson","192","0","2"
"18-29 years","Atkinson","332","0","16"
"30-39 years","Atkinson","243","0","20"
"40-49 years","Atkinson","251","4","40"
"50-59 years","Atkinson","233","5","46"
"60-69 years","Atkinson","164","12","63"
"70-79 years","Atkinson","89","10","41"
"80 & Older years","Atkinson","44","14","31"
"<1 years","Atkinson","22","0","1"
"01-04 years","Bacon","63","0","1"
"05-09 years","Bacon","89","0","0"
"10-17 years","Bacon","247","0","1"
"18-29 years","Bacon","679","0","15"
"30-39 years","Bacon","417","1","13"
"40-49 years","Bacon","413","5","29"
"50-59 years","Bacon","335","5","35"
"60-69 years","Bacon","284","21","67"
"70-79 years","Bacon","188","19","59"
"80 & Older years","Bacon","108","18","40"
"<1 years","Bacon","23","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","23","0","0"
"10-17 years","Baker","24","0","1"
"18-29 years","Baker","64","0","1"
"30-39 years","Baker","41","0","6"
"40-49 years","Baker","37","3","4"
"50-59 years","Baker","43","0","5"
"60-69 years","Baker","48","3","18"
"70-79 years","Baker","26","3","11"
"80 & Older years","Baker","19","5","8"
