"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1273619","16143","70481"
"Male","Georgia","1044728","18663","65722"
"Unknown","Georgia","13343","4","370"
"Female","Appling","2099","57","165"
"Male","Appling","1737","59","156"
"Female","Atkinson","936","18","141"
"Male","Atkinson","758","28","123"
"Female","Bacon","1414","28","135"
"Male","Bacon","1433","41","125"
"Female","Baker","185","6","29"
"Male","Baker","154","8","25"
"Unknown","Baker","1","0","0"
"Female","Baldwin","4757","74","225"
"Male","Baldwin","3668","139","275"
"Unknown","Baldwin","6","0","0"
"Female","Banks","2167","50","215"
"Male","Banks","1794","42","180"
"Unknown","Banks","14","0","1"
"Female","Barrow","12601","133","635"
"Male","Barrow","10467","140","549"
"Unknown","Barrow","47","0","1"
"Female","Bartow","14094","192","775"
"Male","Bartow","11848","225","756"
"Unknown","Bartow","86","0","0"
"Female","Ben Hill","1328","34","114"
"Male","Ben Hill","1018","41","104"
"Unknown","Ben Hill","4","0","0"
"Female","Berrien","1270","36","84"
"Male","Berrien","1033","29","72"
"Unknown","Berrien","5","0","0"
"Female","Bibb","19378","357","1672"
"Male","Bibb","14231","368","1414"
"Unknown","Bibb","13","0","1"
"Female","Bleckley","940","27","48"
"Male","Bleckley","665","21","41"
"Unknown","Bleckley","9","0","0"
"Female","Brantley","1492","39","111"
"Male","Brantley","1250","54","100"
"Female","Brooks","1229","30","97"
"Male","Brooks","941","46","87"
"Unknown","Brooks","7","0","0"
"Female","Bryan","4175","34","228"
"Male","Bryan","3792","56","250"
"Unknown","Bryan","22","0","0"
"Female","Bulloch","6440","63","241"
"Male","Bulloch","5004","56","199"
"Female","Burke","1790","33","144"
"Male","Burke","1437","40","148"
"Unknown","Burke","14","0","0"
"Female","Butts","2784","69","170"
"Male","Butts","2760","90","183"
"Unknown","Butts","28","0","0"
"Female","Calhoun","448","15","53"
"Male","Calhoun","628","9","66"
"Unknown","Calhoun","5","0","0"
"Female","Camden","5692","57","149"
"Male","Camden","4775","59","137"
"Unknown","Camden","18","0","0"
"Female","Candler","819","22","69"
"Male","Candler","670","37","55"
"Female","Carroll","9027","89","234"
"Male","Carroll","7640","106","270"
"Unknown","Carroll","57","0","6"
"Female","Catoosa","7592","80","229"
"Male","Catoosa","6480","75","214"
"Unknown","Catoosa","113","0","5"
"Female","Charlton","950","19","68"
"Male","Charlton","1613","29","63"
"Female","Chatham","35324","408","2121"
"Male","Chatham","28738","511","1971"
"Unknown","Chatham","101","0","4"
"Female","Chattahoochee","777","3","29"
"Male","Chattahoochee","5983","16","37"
"Unknown","Chattahoochee","134","0","0"
"Female","Chattooga","3186","63","190"
"Male","Chattooga","2726","67","189"
"Unknown","Chattooga","23","0","1"
"Female","Cherokee","29220","280","1348"
"Male","Cherokee","24774","370","1463"
"Unknown","Cherokee","74","0","0"
"Female","Clarke","17379","109","955"
"Male","Clarke","13296","133","796"
"Unknown","Clarke","54","0","2"
"Female","Clay","227","1","9"
"Male","Clay","163","5","6"
"Unknown","Clay","2","0","0"
"Female","Clayton","40525","492","2288"
"Male","Clayton","28971","508","1826"
"Unknown","Clayton","287","0","8"
"Female","Clinch","844","18","54"
"Male","Clinch","730","25","49"
"Female","Cobb","93262","861","2807"
"Male","Cobb","75503","1028","2787"
"Unknown","Cobb","688","0","6"
"Female","Coffee","4824","128","682"
"Male","Coffee","3904","112","533"
"Female","Colquitt","4895","97","239"
"Male","Colquitt","4238","102","238"
"Unknown","Colquitt","10","0","0"
"Female","Columbia","12700","148","565"
"Male","Columbia","11472","205","555"
"Unknown","Columbia","63","0","0"
"Female","Cook","1286","29","87"
"Male","Cook","984","31","78"
"Unknown","Cook","3","0","0"
"Female","Coweta","14914","201","1114"
"Male","Coweta","12548","256","1004"
"Unknown","Coweta","86","0","5"
"Female","Crawford","782","24","64"
"Male","Crawford","633","30","71"
"Female","Crisp","1510","36","128"
"Male","Crisp","1142","39","91"
"Unknown","Crisp","30","0","0"
"Female","Dade","1536","16","56"
"Male","Dade","1412","13","54"
"Unknown","Dade","29","0","0"
"Female","Dawson","4018","41","217"
"Male","Dawson","3363","61","246"
"Unknown","Dawson","20","0","0"
"Female","DeKalb","93770","848","5387"
"Male","DeKalb","71782","893","4588"
"Unknown","DeKalb","1032","0","22"
"Female","Decatur","3414","47","173"
"Male","Decatur","2609","55","142"
"Unknown","Decatur","27","0","0"
"Female","Dodge","1163","37","75"
"Male","Dodge","1087","42","76"
"Unknown","Dodge","26","0","0"
"Female","Dooly","880","20","64"
"Male","Dooly","789","25","60"
